,SnomedCTConceptId,medcodeid,Observations,OrigReadCode,CleansedReadCode,Term.x,SnomedDescriptionId,Release,EmisCodeCategoryId,Term.y,Disease,Otherinstructions,origin,Comments
2,106281000119103,8033291000006116,2,^ESCTPR803329,NA,Pre-existing diabetes mellitus in mother complicating childbirth,3005790010,NA,32,Pre-existing diabetes mellitus in mother complicating childbirth (disorder),Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
4,1066911000000100,8439941000006112,300000,^ESCTDI843994,NA,Diabetes monitoring SMS (short message service) text message first invitation,2679841000000117,NA,37,Diabetes monitoring short message service text message first invitation (procedure),Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
5,1066921000000106,8439961000006111,100000,^ESCTDI843996,NA,Diabetes monitoring SMS (short message service) text message second invitation,2679861000000116,NA,37,Diabetes monitoring short message service text message second invitation (procedure),Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
6,1066931000000108,8439971000006116,30000,^ESCTDI843997,NA,Diabetes monitoring SMS (short message service) text message third invitation,2679881000000113,NA,37,Diabetes monitoring short message service text message third invitation (procedure),Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
7,1067201000000106,8440231000006115,5,^ESCTEA844023,NA,Eating disorder co-occurrent with diabetes mellitus type 1,2680481000000110,NA,31,Eating disorder co-occurrent with diabetes mellitus type 1 (disorder),Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
9,1083111000000108,8459531000006110,1000,^ESCTDI845953,NA,Diabetes monitoring invitation email,2714151000000110,NA,37,Diabetes monitoring invitation email (procedure),Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
11,1110921000000100,12626341000006114,100000,^ESCT1262634,NA,QOF (Quality and Outcomes Framework) diabetes mellitus quality indicator-related care invitation,2779821000000117,NA,37,Quality and Outcomes Framework diabetes mellitus quality indicator-related care invitation (procedure),Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
12,111307005,1219629012,30,C1zy3,C1zy300,Leprechaunism,1219629012,NA,32,Leprechaunism syndrome (disorder),Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
13,111307005,1219628016,8,C1zy3-1,C1zy311,Donohue's syndrome,1219628016,NA,32,Leprechaunism syndrome (disorder),Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
14,111552007,457327017,300,C10EA-2,C10EA12,Insulin-dependent diabetes without complication,178796018,NA,32,Diabetes mellitus NOS with no mention of complication,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
18,111552007,746791000006111,500,C108A,C108A00,Insulin-dependent diabetes without complication,178796018,NA,32,Diabetes mellitus NOS with no mention of complication,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
22,111552007,292466013,20000,C100,C100.00,Diabetes mellitus without complication,178796018,NA,32,Diabetes mellitus NOS with no mention of complication,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
26,111552007,292475010,5000,C100z,C100z00,Diabetes mellitus NOS with no mention of complication,178796018,NA,32,Diabetes mellitus NOS with no mention of complication,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
30,111556005,178798017,5000,ESCTDI20,NA,Diabetic ketoacidosis without coma,178798017,NA,32,Diabetic ketoacidosis without coma,Diabetes,NA,['Caliber'],covid_impact_ccu00201_diabetes_England_SNOMEDCT AND covid_impact_ccu00202_diabetes_England_SNOMEDCT AND covid_impact_ccu000_England_diabetes_SNOMEDCT AND carr_diabetes_jQLxtg2Z3zPcXWge5Nv9tU_SNOMEDCT
31,112991000000101,189711000000119,5,C10M0,C10M000,Lipoatrophic diabetes mellitus without complication,189711000000119,NA,32,Lipoatrophic diabetes mellitus without complication,Diabetes,NA,['Manchester'],diabetes.snomed.txt
32,11530004,72651000006114,100,C1084,C108400,Unstable insulin dependent diabetes mellitus,19931010,NA,27,Unstable insulin dependent diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
36,11530004,429972014,100,C10E4-2,C10E412,Unstable insulin dependent diabetes mellitus,19931010,NA,27,Unstable insulin dependent diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
40,11530004,2683561000006119,60,^ESCTBR268356,NA,Brittle diabetes mellitus,2658852011,NA,27,Unstable insulin dependent diabetes mellitus,Diabetes or Diabetes Eye Disease or Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery AND snomed_for_LW_codelist_using_Pieta_powerQuery
