,SnomedCTConceptId,medcodeid,Observations,OrigReadCode,CleansedReadCode,Term.x,SnomedDescriptionId,Release,EmisCodeCategoryId,Term.y,Disease,Otherinstructions,origin,Comments,X,X.1
1,111552007,292475010,5000,C100z,C100z00,Diabetes mellitus NOS with no mention of complication,178796018,NA,32,Insulin-dependent diabetes without complication,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
5,111552007,746791000006111,500,C108A,C108A00,Insulin-dependent diabetes without complication,178796018,NA,32,Insulin-dependent diabetes without complication,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
9,111552007,292466013,20000,C100,C100.00,Diabetes mellitus without complication,178796018,NA,32,Insulin-dependent diabetes without complication,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
13,111552007,457327017,300,C10EA-2,C10EA12,Insulin-dependent diabetes without complication,178796018,NA,32,Insulin-dependent diabetes without complication,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
17,112991000000101,189711000000119,5,C10M0,C10M000,Lipoatrophic diabetes mellitus without complication,189711000000119,NA,32,Lipoatrophic diabetes mellitus without complication,Diabetes,NA,['Manchester],diabetes.snomed.txt,NA,DM
18,11530004,2683561000006119,60,^ESCTBR268356,NA,Brittle diabetes mellitus,2658852011,NA,27,Unstable insulin dependent diabetes mellitus,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
22,11530004,72651000006114,100,C1084,C108400,Unstable insulin dependent diabetes mellitus,19931010,NA,27,Unstable insulin dependent diabetes mellitus,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
26,11530004,19931010,2000,66AJ1,66AJ100,Brittle diabetes,19931010,NA,27,Unstable insulin dependent diabetes mellitus,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
30,11530004,2683581000006112,50,^ESCTLA268358,NA,Labile diabetes,1220208016,NA,27,Unstable insulin dependent diabetes mellitus,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
34,11530004,2683591000006110,2,^ESCTUN268359,NA,Unstable diabetes mellitus,2871747019,NA,27,Unstable insulin dependent diabetes mellitus,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
38,11530004,429972014,100,C10E4-2,C10E412,Unstable insulin dependent diabetes mellitus,19931010,NA,27,Unstable insulin dependent diabetes mellitus,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
42,11530004,411891014,4000,66AJ-1,66AJ.11,Unstable diabetes,19931010,NA,27,Unstable insulin dependent diabetes mellitus,Diabetes Mellitus,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate,NA,
46,11687002,1220321013,10000,L1808,L180800,Diabetes mellitus arising in pregnancy,1220321013,NA,32,diabetes mellitus arising in pregnancy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
47,11687002,20191016,300000,L1809,L180900,Gestational diabetes mellitus,20191016,NA,32,diabetes mellitus arising in pregnancy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
48,11687002,2686101000006116,200,^ESCTGD268610,NA,GDM - Gestational diabetes mellitus,1220322018,NA,32,diabetes mellitus arising in pregnancy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
49,11687002,801901000006119,80000,L1808-1,L180811,Gestational diabetes mellitus,20191016,NA,32,diabetes mellitus arising in pregnancy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
50,11687002,2686061000006119,20,^ESCTGD268606,NA,GDM,20193018,NA,32,diabetes mellitus arising in pregnancy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
51,11687002,2686081000006112,3,^ESCTMA268608,NA,Maternal gestational diabetes mellitus,1220320014,NA,32,diabetes mellitus arising in pregnancy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
52,11687002,2686071000006114,2000,^ESCTGE268607,NA,Gestational diabetes,1220319015,NA,32,diabetes mellitus arising in pregnancy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
53,127012008,967701000006116,100,C10M,C10M.00,Lipoatrophic diabetes mellitus,300015,NA,32,lipoatrophic diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
54,127012008,4392141000006116,10,^ESCTLI439214,NA,Lipoatrophic diabetes,300015,NA,32,lipoatrophic diabetes mellitus,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
55,127013003,205225016,40000,C104-1,C104.11,Diabetic nephropathy,205225016,NA,32,diabetes mellitus with renal manifestation,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
56,127013003,771501000006119,90,C1080,C108000,Insulin-dependent diabetes mellitus with renal complications,301016,NA,32,diabetes mellitus with renal manifestation,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
57,127013003,616461000006112,10000,C104,C104.00,Diabetes mellitus with renal manifestation,301016,NA,32,diabetes mellitus with renal manifestation,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
58,127013003,293759015,2000,Cyu23,Cyu2300,Diabetic renal disease,301016,NA,32,diabetes mellitus with renal manifestation,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
59,127013003,292495016,100,C104y,C104y00,Other specified diabetes mellitus with renal complications,301016,NA,32,diabetes mellitus with renal manifestation,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
60,127013003,771391000006117,100,C108D,C108D00,Insulin dependent diabetes mellitus with nephropathy,301016,NA,32,diabetes mellitus with renal manifestation,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
61,127013003,913831000006114,50,C10ED-2,C10ED12,Insulin dependent diabetes mellitus with nephropathy,301016,NA,32,diabetes mellitus with renal manifestation,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
62,127013003,881481000006117,1000,C104-99,C104.99,Diabetes + nephropathy,881481000006117,NA,32,diabetes mellitus with renal manifestation,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
63,127013003,292496015,2000,C104z,C104z00,Diabetes mellitus with nephropathy NOS,301016,NA,32,diabetes mellitus with renal manifestation,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
64,127013003,913441000006119,200,C10E0-2,C10E012,Insulin-dependent diabetes mellitus with renal complications,301016,NA,32,diabetes mellitus with renal manifestation,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
65,127013003,14067581000006118,200,^ESCT1406758,NA,Disorder of kidney due to diabetes mellitus,3782027011,NA,32,diabetes mellitus with renal manifestation,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
66,127013003,354316011,300,C314-1,C314.11,Kidney disorder due to diabetes mellitus,3688488015,NA,32,diabetes mellitus with renal manifestation,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
67,127014009,302011,4000,G73y0,G73y000,Diabetic peripheral angiopathy,302011,NA,32,diabetic peripheral angiopathy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
68,127014009,4392201000006111,3,^ESCTDI439220,NA,Diabetic peripheral vascular disease,205224017,NA,32,diabetic peripheral angiopathy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
69,127014009,4392221000006118,30,^ESCTPE439222,NA,Peripheral angiopathy due to diabetes mellitus,3313388015,NA,32,diabetic peripheral angiopathy,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
70,1481000119100,7968751000006116,20,^ESCTDI796875,NA,Diabetes mellitus type 2 without retinopathy,3013049012,NA,32,Diabetes mellitus type 2 without retinopathy,Diabetes,NA,['Manchester],diabetes.snomed.txt,NA,DM
71,165681007,817481000006113,10000,42c2,42c2.00,Haemoglobin A1c greater than 10% indicating poor diabetic control,2767754019,NA,11,hb. a1c > 10% - bad control,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
72,165681007,257621011,60000,42W3,42W3.00,Hb. A1C > 10% - bad control,257621011,NA,11,hb. a1c > 10% - bad control,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
73,165681007,14500431000006116,100,^ESCT1450043,NA,Haemoglobin A1c greater than 10 percent indicating poor diabetic control,4578059010,NA,11,hb. a1c > 10% - bad control,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
74,166928007,259365016,9000,44V3,44V3.00,Glucose tolerance test indicates diabetes mellitus,2817641015,NA,34,glucose tol. test diabetic,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
75,170742000,264729012,600000,66AZ,66AZ.00,Diabetic monitoring NOS,264676010,NA,1,Diabetic monitoring,Diabetes Mellitus,NA,['efi'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate,NA,
