,SnomedCTConceptId,medcodeid,Observations,OrigReadCode,CleansedReadCode,Term.x,SnomedDescriptionId,Release,EmisCodeCategoryId,Term.y,Disease,Otherinstructions,origin,Comments
1,126534007,12218471000006119,1,^ESCT1221847,NA,Mixed sensorimotor polyneuropathy co-occurrent and due to diabetes mellitus,3695736013,NA,31,Mixed sensorimotor polyneuropathy due to diabetes mellitus (disorder),Diabetes,NA,['Manchester'],diabetes.snomed.txt OR efi-diabetes.snomed.txt
2,126534007,4383621000006112,2,^ESCTDI438362,NA,Diabetic mixed sensory-motor polyneuropathy,94571018,NA,31,Mixed sensorimotor polyneuropathy due to diabetes mellitus (disorder),Diabetes,NA,['Manchester'],diabetes.snomed.txt OR efi-diabetes.snomed.txt
5,190368000,292540012,300,C10E5,C10E500,Type 1 diabetes mellitus with ulcer,292540012,NA,32,Type I diabetes mellitus with ulcer,Diabetes Neuropathy,NA,['Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
7,190368000,292538019,10,C10E5-1,C10E511,Type I diabetes mellitus with ulcer,292538019,NA,32,Type I diabetes mellitus with ulcer,Diabetes Neuropathy,NA,['Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
9,190368000,84821000006118,20,C1085-1,C108511,Type I diabetes mellitus with ulcer,292538019,NA,32,Type I diabetes mellitus with ulcer,Diabetes Neuropathy,NA,['Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
11,190368000,84451000006112,30,C1085-2,C108512,Type 1 diabetes mellitus with ulcer,292540012,NA,32,Type I diabetes mellitus with ulcer,Diabetes Neuropathy,NA,['Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
15,190389009,85001000006117,60,C1094-1,C109411,Type II diabetes mellitus with ulcer,292581016,NA,32,Type II diabetes mellitus with ulcer,Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
17,190389009,292579018,1000,C10F4,C10F400,Type 2 diabetes mellitus with ulcer,292579018,NA,32,Type II diabetes mellitus with ulcer,Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
19,190389009,280551000006114,300,C1094,C109400,Non-insulin-dependent diabetes mellitus with ulcer,292580015,NA,32,Type II diabetes mellitus with ulcer,Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
21,190389009,292581016,30,C10F4-1,C10F411,Type II diabetes mellitus with ulcer,292581016,NA,32,Type II diabetes mellitus with ulcer,Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
23,190389009,84631000006119,90,C1094-2,C109412,Type 2 diabetes mellitus with ulcer,292579018,NA,32,Type II diabetes mellitus with ulcer,Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
27,193141005,297510017,2000,F35z0,F35z000,Diabetic mononeuritis NOS,297492014,NA,32,Diabetic mononeuritis multiplex,Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
28,193141005,297492014,700,F3450,F345000,Diabetic mononeuritis multiplex,297492014,NA,32,Diabetic mononeuritis multiplex,Diabetes Neuropathy,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_DiabetesToSeparate AND snomed_for_LW_codelist_using_Pieta_powerQuery_DiabetesToSeparate
