,SnomedCTConceptId,medcodeid,Observations,OrigReadCode,CleansedReadCode,Term.x,SnomedDescriptionId,Release,EmisCodeCategoryId,Term.y,Disease,Otherinstructions,origin,Comments
1,10273003,1218860015,5,G30y1,G30y100,Acute papillary muscle infarction,1218860015,NA,32,Acute papillary muscle infarction,Coronary Heart Disease AND Ischaemic heart disease,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
2,103011000119106,8032161000006112,4,^ESCTCO803216,NA,Coronary arteriosclerosis in patient with history of previous myocardial infarction,3290272012,NA,27,Coronary arteriosclerosis in patient with history of previous myocardial infarction (situation),Coronary Heart Disease,NA,['ManchesterGitHub'],coronary-heart-disease.snomed.txt
3,1077002,2515471000006117,30,^ESCTSE251547,NA,Septal infarction by electrocardiogram,2972454013,NA,3,Septal infarction by electrocardiogram (finding),Coronary Heart Disease,NA,['ManchesterGitHub'],coronary-heart-disease.snomed.txt
4,1089431000000107,NA,NA,NA,NA,NA,NA,NA,NA,Postoperative nontransmural myocardial infarction (disorder),Coronary Heart Disease,NA,['ManchesterGitHub'],coronary-heart-disease.snomed.txt
5,1089441000000103,NA,NA,NA,NA,NA,NA,NA,NA,Postoperative transmural myocardial infarction (disorder),Coronary Heart Disease,NA,['ManchesterGitHub'],coronary-heart-disease.snomed.txt
6,1089451000000100,2729631000000115,3,^ESCT1171766,NA,Acute nontransmural myocardial infarction,2729631000000115,NA,32,Acute nontransmural myocardial infarction (disorder),Coronary Heart Disease,NA,['ManchesterGitHub'],coronary-heart-disease.snomed.txt
7,1089471000000109,2729671000000118,100,^ESCT1171768,NA,Acute transmural myocardial infarction,2729671000000118,NA,32,Acute transmural myocardial infarction (disorder),Coronary Heart Disease,NA,['ManchesterGitHub'],coronary-heart-disease.snomed.txt
8,10971000087107,NA,NA,NA,NA,NA,NA,NA,NA,Myocardial ischemia during surgery (disorder),Coronary Heart Disease,NA,['ManchesterGitHub'],coronary-heart-disease.snomed.txt
9,11018701000119108,NA,NA,NA,NA,NA,NA,NA,NA,Coronary arteriosclerosis after percutaneous coronary angioplasty (disorder),Coronary Heart Disease,NA,['ManchesterGitHub'],coronary-heart-disease.snomed.txt
10,11101003,89731000006112,2000,7928y,7928y00,Transluminal balloon angioplasty of coronary artery OS,19234014,NA,32,Transluminal balloon angioplasty of coronary artery OS,Coronary Heart Disease AND Ischaemic heart disease,NA,['efi AND Lauren_codelist'],eFI2 SNOMED CT 0.24 Renamed ConditionsPowerQuery_separateOut.csv AND snomed_for_LW_codelist_using_Pieta_powerQuery_separateOut.csv
