https://www.tandfonline.com/doi/pdf/10.2147/CLEP.S170304,,,,,,
ICD10,Description,Location,,,,
I85.0 ,Esophageal varices with bleeding,GI ,,,,
K25.0 ,"Gastric ulcer, acute with hemorrhage",GI ,,,,
K25.2 ,"Gastric ulcer, acute with both hemorrhage and perforation",GI ,,,,
 K25.4 ,"Gastric ulcer, chronic or unspecified with hemorrhage",GI ,,,,
K25.6 ,Chronic or unspecified with both hemorrhage and perforation,GI ,,,,
K26.0 ,"Duodenal ulcer, acute with hemorrhage",GI ,,,,
K26.2 ,"Duodenal ulcer, acute with both hemorrhage and perforation",GI ,,,,
K26.4 ,"Duodenal ulcer, chronic or unspecified with hemorrhage",GI ,,,,
K26.6 ,Chronic or unspecified with both hemorrhage and perforation,GI ,,,,
K27.0 ,"Peptic ulcer, acute with hemorrhage",GI ,,,,
K27.2,"Peptic ulcer, acute with both hemorrhage and perforation",GI ,,,,
 K27.4 ,"Peptic ulcer, chronic or unspecified with hemorrhage",GI ,,,,
K27.6 ,Chronic or unspecified with both hemorrhage and perforation,GI ,,,,
K28.0,"Gastrojejunal ulcer, acute with hemorrhage",GI ,,,,
K28.2 ,Acute with both hemorrhage and perforation,GI ,,,,
K28.4 ,"Gastrojejunal ulcer, chronic or unspecified with hemorrhage",GI ,,,,
K28.6 ,Chronic or unspecified with both hemorrhage and perforation,GI ,,,,
K29.0 ,Acute hemorrhagic gastritis,GI ,,,,
K62.5 ,Hemorrhage of anus and rectum,GI ,,,,
K92.0 ,Hematemesis,GI ,,,,
K92.1 ,Melena,GI ,,,,
K92.2 ,"Gastrointestinal hemorrhage, unspecified",GI ,,,,
I84.1 ,Internal hemorrhoids with other complications,GI ,,,,
I84.3 ,External thrombosed hemorrhoids,GI ,,,,
I84.4,External hemorrhoids with other complications,GI ,,,,
 I84.8 ,Unspecified hemorrhoids with other complications,GI ,,,,
I98.3 ,Esophageal varices with bleeding in diseases classified elsewhere,GI ,,,,
K22.6 ,Gastro-esophageal laceration-hemorrhage syndrome,GI ,,,,
K31.8 ,Angiodysplasia of stomach and duodenum with hemorrhage,GI ,,,,
K55.2 ,Angiodysplasia of the colon with bleeding,GI ,,,,
K55.8 ,Angiodysplasia of the small intestine with hemorrhage,GI ,,,,
K57.0 ,"Diverticulosis of the small intestine with perforation, abscess and bleeding",GI ,,,,
K57.1 ,"Diverticulosis of the small intestine without perforation and abscess, with bleeding",GI ,,,,
K57.2 ,"Diverticulosis of the colon with perforation, abscess and bleeding",GI ,,,,
K57.3 ,"Diverticulosis of the colon without perforation or abscess, with bleeding",GI ,,,,
K57.4 ,"Diverticular disease of both the small intestine and the large intestine with perforation, abscess and bleeding",GI ,,,,
K57.5,"Diverticular disease of both the small intestine and the large intestine without perforation or abscess, with GI bleeding",GI ,,,,
K57.8 ,"Diverticular disease of intestine, part unspecified, with perforation, abscess and bleeding ",GI ,,,,
K57.9 ,"GI Diverticular disease of intestine, part unspecified, without perforation or abscess, with bleeding GI ",GI ,,,,
I60 ,Subarachnoid hemorrhage,IC,,,,
I60.0,Subarachnoid hemorrhage,IC,,,,
 I60.1 ,Subarachnoid hemorrhage,IC,,,,
I60.2 ,Subarachnoid hemorrhage,IC,,,,
I60.3 ,Subarachnoid hemorrhage,IC,,,,
I60.4 ,Subarachnoid hemorrhage,IC,,,,
I60.5 ,Subarachnoid hemorrhage,IC,,,,
I60.6 ,Subarachnoid hemorrhage,IC,,,,
I60.7 ,Subarachnoid hemorrhage,IC,,,,
I60.8 ,Other subarachnoid hemorrhage,IC,,,,
I60.9 ,"Subarachnoid hemorrhage, unspecified",IC,,,,
I61 ,Intracerebral hemorrhage,IC,,,,
I61.0,"Intracerebral hemorrhage in hemisphere, subcortical ",IC,,,,
 I61.1 ,"Intracerebral hemorrhage in hemisphere, cortical ",IC,,,,
I61.2 ,"Intracerebral hemorrhage in hemisphere, unspecified ",IC,,,,
I61.3 ,Intracerebral hemorrhage in brain stem ,IC,,,,
I61.4,Intracerebral hemorrhage in cerebellum ,IC,,,,
I61.5,"Intracerebral hemorrhage, intraventricular ",IC,,,,
I61.6,"Intracerebral hemorrhage, multiple localized",IC,,,,
I61.8, Other intracerebral hemorrhage ,IC,,,,
I61.9,"Intracerebral hemorrhage, unspecified ",IC,,,,
I62,Other nontraumatic intracranial hemorrhage ,IC,,,,
I62.0,Subdural hemorrhage (acute) (nontraumatic) ,IC,,,,
I62.1, Nontraumatic extradural hemorrhage ,IC,,,,
I62.9,"Intracranial hemorrhage (nontraumatic), unspecified ",IC,,,,
I69.0,Sequelae of subarachnoid hemorrhage,IC,,,,
I69.1,  Sequelae of intracerebral hemorrhage,IC,,,,
I69.2, Sequelae of other nontraumatic intracranial hemorrhage,IC,,,,
S06.5, Traumatic subdural hemorrhage ,IC,,,,
S06.6,Traumatic subarachnoid hemorrhage,IC,,,,
S06.4, Epidural hemorrhage ,IS,,,,
G95.1,Vascular myelopathies (including hematomyelia),IS,,,,
H21.0, Hyphema ,IO,,,,
H31.41,Hemorrhagic choroidal detachment ,IO,,,,
H35.73,Hemorrhagic detachment of retinal pigment epithelium ,IO,,,,
H44.81,Hemophthalmos ,IO,,,,
H47.02,Hemorrhage in optic nerve sheath,IO,,,,
H31.3, Choroidal hemorrhage and rupture,IO,,,,
H35.6, Retinal hemorrhage,IO,,,,
H43.1, Vitreous hemorrhage ,IO,,,,
H45.0,Vitreous hemorrhage in diseases classified elsewhere,IO,,,,
N42.1,Congestion and hemorrhage of prostate ,U,,,,
N02,Recurrent and persistent hematuria ,U,,,,
N02.6,"Recurrent and persistent hematuria, dense deposit disease ",U,,,,
N02.8,"Recurrent and persistent hematuria, other ",U,,,,
N02.9,"Recurrent and persistent hematuria, unspecified ",U,,,,
R31,Unspecified hematuria,U,,,,
R31.0,Gross hematuria ,U,,,,
R31.9,"Hematuria, unspecified ",U,,,,
M25.0,Hemarthrosis,IA,,,,
R04,Hemorrhage from respiratory passages ,R,,,,
R04.1,Hemorrhage from throat ,R,,,,
J94.2 ,Hemothorax ,R,,,,
R04.0,Epistaxis,R,,,,
 R04.2 ,Hemoptysis,R,,,,
R04.8 ,Hemorrhage,R,,,,
R04.9 ,"Hemorrhage from respiratory passage, unspecified",R,,,,
I23.0,Hemopericardium as current complication following acute myocardial infarction ,PC,,,,
 I31.2 ,"Hemopericardium, not elsewhere classified ",PC,,,,
S26.0 ,Injury of heart with hemopericardium ,PC,,,,
N83.6,Hematosalpinx ,GYN,,,,
 N85.7 ,Hematometra ,GYN,,,,
N89.7 ,Hematocolpos ,GYN,,,,
N92.1 ,Excessive and frequent menstruation with irregular cycle ,GYN,,,,
N93 ,Other abnormal uterine and vaginal bleeding ,GYN,,,,
N93.8,Other specified abnormal uterine and vaginal bleeding ,GYN,,,,
 N93.9 ,"Abnormal uterine and vaginal bleeding, unspecified ",GYN,,,,
N95.0 ,Postmenopausal bleeding ,GYN,,,,
D69,Purpura and other hemorrhagic conditions ,CUT,,,,
 I71.3 ,"Abdominal aortic aneurysm, ruptured ",RP,,,,
I71.5 ,"Thoracoabdominal aortic aneurysm, ruptured ",RP,,,,
K66.1 ,Hemoperitoneum ,RP,,,,
H11.3,Conjunctival hemorrhage,OTH,,,,
R31.1 ,Benign essential microscopic hematuria,OTH,,,,
H92.2 ,Otorrhagia,OTH,,,,
I71.1 ,"Thoracic aortic aneurysm, ruptured",OTH,,,,
I71.8 ,"Aortic aneurysm of unspecified site, ruptured",OTH,,,,
E07.8 ,Other specified disorders of thyroid (including hemorrhage of thyroid),OTH,,,,
E27.4 ,Other and unspecified adrenocortical insufficiency (including adrenal hemorrhage) ,OTH,,,,
M62.2 ,"Ischemic infarction of muscle (compartment syndrome, non-traumatic)",COMP,,,,
T79.6 ,Traumatic ischemia of muscle (compartment syndrome) ,COMP,,,,
,,,,,,
,,,,,,
,,,,,,
ICD codes used to identify and exclude individuals whose atrial fibrillation was valvular in nature ,,,,,,
I05 ,Rheumatic mitral valve diseases,,,,,
I05.0, Rheumatic mitral stenosis,,,,,
I05.2 ,Rheumatic mitral stenosis with insufficiency ,,,,,
I05.8  ,Other rheumatic mitral valve diseases ,,,,,
I05.9  ,"Rheumatic mitral valve disease, unspecified ",,,,,
I08 ,Multiple valve diseases ,,,,,
I08.0  ,Disorders of both mitral and aortic valves ,,,,,
I08.1  ,"Disorders of both mitral and tricuspid valves Combined disorders of mitral, aortic and tricuspid valves ",,,,,
I08.8  ,Other multiple valve diseases ,,,,,
08.9  ,"Multiple valve disease, unspecified ",,,,,
T82.0 ,Mechanical complication of heart valve prosthesis ,,,,,
T82.6,Infection and inflammatory reaction due to cardiac valve prosthesis,,,,,
T82.8,"Other specified complications of cardiac and vascular prosthetic devices, implants and grafts ",,,,,
T82.9,"Unspecified complication of cardiac and vascular prosthetic device, implant and graft ",,,,,
Z95.2,Presence of prosthetic heart valve ,,,,,
Z95.4,Presence of other heart-valve replacement ,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 https://www.frontiersin.org/articles/10.3389/fcvm.2022.969259/full#supplementary-material,,,,,,
Condition,Enhanced ICD-9-CM,ICD-10  ,Order Code,,,
Atrial fibrillation ,427.31,"I48.0, I48.2, I48.91",,,,
Hypertension ,"401, 402 ",I10-I16,,,,
Myocardial infarction ,"410.x, 412.x ","I21.x, I22.x, I25.2 ",,,,
Congestive heart failure ,"398.91, 402.01, 402.11, 402.91,404.01, 404.03, 404.11, 404.13, 404.91, 404.93, 425.4– 425.9, 428.x ","I09.9, I11.0, I13.0, I13.2, I25.5, I42.0, I42.5–I42.9, I43.x, I50.x, P29.0 ",,,,
Aortic plaque ,440,I70 ,,,,
