Description,Enhanced ICD-9-CM
Bone Fractures due to traffic accidents ,800
Bone Fractures due to traffic accidents ,801
Bone Fractures due to traffic accidents ,802
Bone Fractures due to traffic accidents ,803
Bone Fractures due to traffic accidents ,804
Bone Fractures due to traffic accidents ,805
Bone Fractures due to traffic accidents ,806
Bone Fractures due to traffic accidents ,807
Bone Fractures due to traffic accidents ,808
Bone Fractures due to traffic accidents ,809
Bone Fractures due to traffic accidents ,810
Bone Fractures due to traffic accidents ,811
Bone Fractures due to traffic accidents ,812
Bone Fractures due to traffic accidents ,813
Bone Fractures due to traffic accidents ,814
Bone Fractures due to traffic accidents ,815
Bone Fractures due to traffic accidents ,816
Bone Fractures due to traffic accidents ,817
Bone Fractures due to traffic accidents ,818
Bone Fractures due to traffic accidents ,819
Bone Fractures due to traffic accidents ,820
Bone Fractures due to traffic accidents ,821
Bone Fractures due to traffic accidents ,822
Bone Fractures due to traffic accidents ,823
Bone Fractures due to traffic accidents ,824
Bone Fractures due to traffic accidents ,825
Bone Fractures due to traffic accidents ,826
Bone Fractures due to traffic accidents ,827
Bone Fractures due to traffic accidents ,828
Bone Fractures due to traffic accidents ,829
Bone Fractures due to traffic accidents ,E800
Bone Fractures due to traffic accidents ,E801
Bone Fractures due to traffic accidents ,E802
Bone Fractures due to traffic accidents ,E803
Bone Fractures due to traffic accidents ,E804
Bone Fractures due to traffic accidents ,E805
Bone Fractures due to traffic accidents ,E806
Bone Fractures due to traffic accidents ,E807
Bone Fractures due to traffic accidents ,E808
Bone Fractures due to traffic accidents ,E809
Bone Fractures due to traffic accidents ,E810
Bone Fractures due to traffic accidents ,E811
Bone Fractures due to traffic accidents ,E812
Bone Fractures due to traffic accidents ,E813
Bone Fractures due to traffic accidents ,E814
Bone Fractures due to traffic accidents ,E815
Bone Fractures due to traffic accidents ,E816
Bone Fractures due to traffic accidents ,E817
Bone Fractures due to traffic accidents ,E818
Bone Fractures due to traffic accidents ,E819
Bone Fractures due to traffic accidents ,E820
Bone Fractures due to traffic accidents ,E821
Bone Fractures due to traffic accidents ,E822
Bone Fractures due to traffic accidents ,E823
Bone Fractures due to traffic accidents ,E824
Bone Fractures due to traffic accidents ,E825
Bone Fractures due to traffic accidents ,E826
Bone Fractures due to traffic accidents ,E827
Bone Fractures due to traffic accidents ,E828
Bone Fractures due to traffic accidents ,E829
Bone Fractures due to traffic accidents ,E830
Bone Fractures due to traffic accidents ,E831
Bone Fractures due to traffic accidents ,E832
Bone Fractures due to traffic accidents ,E833
Bone Fractures due to traffic accidents ,E834
Bone Fractures due to traffic accidents ,E835
Bone Fractures due to traffic accidents ,E836
Bone Fractures due to traffic accidents ,E837
Bone Fractures due to traffic accidents ,E838
Bone Fractures due to traffic accidents ,E839
Bone Fractures due to traffic accidents ,E840
Bone Fractures due to traffic accidents ,E841
Bone Fractures due to traffic accidents ,E842
Bone Fractures due to traffic accidents ,E843
Bone Fractures due to traffic accidents ,E844
Bone Fractures due to traffic accidents ,E845
Bone Fractures due to traffic accidents ,E846
Bone Fractures due to traffic accidents ,E847
Bone Fractures due to traffic accidents ,E848
