Description,Enhanced ICD-9-CM,ICD-10  
Chronic kidney disease ,580,I12
Chronic kidney disease , 581, I13
Chronic kidney disease , 582, N00
Chronic kidney disease , 583, N01
Chronic kidney disease , 584, N02
Chronic kidney disease , 585, N03
Chronic kidney disease , 586, N04
Chronic kidney disease , 587,N05
Chronic kidney disease , 588, N07
Chronic kidney disease , 589 , N11
Chronic kidney disease ,, N14
Chronic kidney disease ,, N17
Chronic kidney disease ,, N18
Chronic kidney disease ,, N19
Chronic kidney disease ,, Q61 
