Description,Enhanced ICD-9-CM,ICD-10  
Chronic obstructive pulmonary disease ,490,J40
Chronic obstructive pulmonary disease , 491.0, J41.0
Chronic obstructive pulmonary disease , 491.1, J41.1
Chronic obstructive pulmonary disease , 491.2, J41.8
Chronic obstructive pulmonary disease , 491.20, J42
Chronic obstructive pulmonary disease , 491.21, J43.0
Chronic obstructive pulmonary disease , 491.22, J43.1
Chronic obstructive pulmonary disease , 491.8, J43.2
Chronic obstructive pulmonary disease , 491.9, J43.8
Chronic obstructive pulmonary disease , 492.0, J43.9
Chronic obstructive pulmonary disease , 492.8, J44.0
Chronic obstructive pulmonary disease , 494, J44.1
Chronic obstructive pulmonary disease ,494, J44.9
Chronic obstructive pulmonary disease ,494.1, J47.0
Chronic obstructive pulmonary disease ,496, J47.1
Chronic obstructive pulmonary disease ,, J47.9 
