Description,Enhanced ICD-9-CM,ICD-10  
Chronic pulmonary disease ,416.8,I27.8
Chronic pulmonary disease , 416.9, I27.9
Chronic pulmonary disease , 490.x, J40.x
Chronic pulmonary disease , 491.x, J41.x
Chronic pulmonary disease , 492.x, J42.x
Chronic pulmonary disease , 493.x, J43.x
Chronic pulmonary disease , 494.x, J44.x
Chronic pulmonary disease ,505.x, J45.x
Chronic pulmonary disease , 506.4, J46.x
Chronic pulmonary disease , 508.1,J47.x
Chronic pulmonary disease , 508.8 ,J60.x
Chronic pulmonary disease ,,J61.x
Chronic pulmonary disease ,,J62.x
Chronic pulmonary disease ,,J63.x
Chronic pulmonary disease ,,J64.x
Chronic pulmonary disease ,,J65.x
Chronic pulmonary disease ,,J66.x
Chronic pulmonary disease ,,J67.x
Chronic pulmonary disease ,, J68.4
Chronic pulmonary disease ,, J70.1
Chronic pulmonary disease ,, J70.3 
