Description,Enhanced ICD-9-CM,ICD-10  
Congestive heart failure ,398.91,I09.9
Congestive heart failure , 402.01, I11.0
Congestive heart failure , 402.11, I13.0
Congestive heart failure , 402.91, I13.2
Congestive heart failure ,404.01, I25.5
Congestive heart failure , 404.03, I42.0
Congestive heart failure , 404.11, I42.5
Congestive heart failure , 404.13,I42.6
Congestive heart failure , 404.91,I42.7
Congestive heart failure , 404.93,I42.8
Congestive heart failure , 425.4,I42.9
Congestive heart failure , 425.5, I43.x
Congestive heart failure , 425.6, I50.x
Congestive heart failure , 425.7, P29.0 
Congestive heart failure , 425.8,
Congestive heart failure , 425.9,
Congestive heart failure , 428.x ,
