Description,Enhanced ICD-9-CM,ICD-10  
Diabetes mellitus (DM) ,250,E10.0
Diabetes mellitus (DM) ,250.4,E10.1
Diabetes mellitus (DM) ,250.5,E10.9
Diabetes mellitus (DM) ,250.6,E11.0
Diabetes mellitus (DM) ,250.7 ,E11.1
Diabetes mellitus (DM) ,,E11.9 
Diabetes mellitus (DM) ,,E10.2
Diabetes mellitus (DM) ,,E10.3
Diabetes mellitus (DM) ,,E10.4
Diabetes mellitus (DM) ,,E10.5
Diabetes mellitus (DM) ,, E10.7
Diabetes mellitus (DM) ,, E11.2
Diabetes mellitus (DM) ,, E11.3
Diabetes with complications ,, E11.4
Diabetes with complications ,,E11.5
Diabetes with complications ,, E11.7
Diabetes with complications ,, E12.2
Diabetes with complications ,, E12.3
Diabetes with complications ,, E12.4
Diabetes with complications ,,E12.5
Diabetes with complications ,, E12.7
Diabetes with complications ,, E13.2
Diabetes with complications ,, E13.3
Diabetes with complications ,, E13.4
Diabetes with complications ,,E13.5
Diabetes with complications ,, E13.7
Diabetes with complications ,, E14.2
Diabetes with complications ,, E14.3
Diabetes with complications ,, E14.4
Diabetes with complications ,,E14.5
Diabetes with complications ,, E14.7 
