Description,Enhanced ICD-9-CM,ICD-10  
Hemiplegia or paraplegia ,334.1,G04.1
Hemiplegia or paraplegia , 342.x, G11.4
Hemiplegia or paraplegia , 343.x, G80.1
Hemiplegia or paraplegia ,344.0, G80.2
Hemiplegia or paraplegia ,344.1, G81.x
Hemiplegia or paraplegia ,344.2, G82.x
Hemiplegia or paraplegia ,344.3, G83.0
Hemiplegia or paraplegia ,344.4, G83.1
Hemiplegia or paraplegia ,344.5, G83.2
Hemiplegia or paraplegia ,344.6, G83.3
Hemiplegia or paraplegia , 344.9 ,G83.4
Hemiplegia or paraplegia ,, G83.9 
