Description,Enhanced ICD-9-CM,ICD-10  
Ischemic stroke,433,I67.89
Ischemic stroke,434, I63
Ischemic stroke, 436,I64
Ischemic stroke, 852, G458
Ischemic stroke,853 ,459
Ischemic stroke,, S01.90XA
Ischemic stroke,, S06.4X0A
Ischemic stroke,, S06.4X1A
Ischemic stroke,, S06.4X2A
Ischemic stroke,, S06.4X3A
Ischemic stroke,, S06.4X4A
Ischemic stroke,, S06.4X5A
Ischemic stroke,, S06.4X6A
Ischemic stroke,, S06.4X7A
Ischemic stroke,, S06.4X8A
Ischemic stroke,,S06.4X9A
Ischemic stroke,, S06.5X0A
Ischemic stroke,, S06.5X1A
Ischemic stroke,, S06.5X2A
Ischemic stroke,, S06.5X3A
Ischemic stroke,, S06.5X4A
Ischemic stroke,, S06.5X5A
Ischemic stroke,, S06.5X6A
Ischemic stroke,, S06.5X7A
Ischemic stroke,, S06.5X8A
Ischemic stroke,,S06.5X9A
Ischemic stroke,, S06.6X0A
Ischemic stroke,, S06.6X9A
Ischemic stroke,, S06.340A
Ischemic stroke,, S06.341A
Ischemic stroke,, S06.342A
Ischemic stroke,, S06.343A
Ischemic stroke,, S06.344A
Ischemic stroke,, S06.345A
Ischemic stroke,, S06.346A
Ischemic stroke,, S06.347A
Ischemic stroke,, S06.348A
Ischemic stroke,,S06.349A
Ischemic stroke,, S06.350A
Ischemic stroke,, S06.351A
Ischemic stroke,, S06.352A
Ischemic stroke,, S06.353A
Ischemic stroke,, S06.354A
Ischemic stroke,, S06.355A
Ischemic stroke,, S06.356A
Ischemic stroke,, S06.357A
Ischemic stroke,, S06.358A
Ischemic stroke,,S06.359A
Ischemic stroke,, S06.360A
Ischemic stroke,, S06.361A
Ischemic stroke,, S06.362A
Ischemic stroke,, S06.363A
Ischemic stroke,, S06.364A
Ischemic stroke,, S06.365A
Ischemic stroke,, S06.366A
Ischemic stroke,, S06.367A
Ischemic stroke,, S06.368A
Ischemic stroke,,S06.369A 
