Description,Enhanced ICD-9-CM,ICD-10  
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",140.x,C00.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",141.x,C01.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",142.x,C02.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",143.x,C03.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",144.x,C04.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",145.x,C05.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",146.x,C06.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",147.x,C07.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",148.x,C08.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",149.x,C09.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",150.x,C10.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",151.x,C11.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",152.x,C12.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",153.x,C13.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",154.x,C14.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",155.x,C15.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",156.x,C16.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",157.x,C17.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",158.x,C18.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",159.x,C19.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",160.x,C20.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",161.x,C21.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",162.x,C22.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",163.x,C23.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",164.x,C24.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",165.x,C25.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",166.x,C26.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",167.x, C30.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",168.x, C31.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",169.x, C32.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",170.x, C33.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",171.x,C34.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",172.x, C37.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 174.x–195.8, C38.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 200.x, C39.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 201.x, C40.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 202.x, C41.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 203.x, C43.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 204.x, C45.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 205.x, C46.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 206.x, C47.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 207.x, C48.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",208.x, C49.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ", 238.6 , C50.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C51.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C52.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C53.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C54.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C55.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C56.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C57.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",,C58.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C60.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C61.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C62.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C63.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C64.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C65.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C66.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C67.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C68.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C69.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C70.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C71.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C72.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C73.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C74.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C75.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",,C76.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C81.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C82.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C83.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C84.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",,C85.x
"Any malignancy, including lymphoma and leukemia, except malignant neoplasm of skin ",, C88.x
