Description,Enhanced ICD-9-CM,ICD-10  
Mild liver disease ,070.22,B18.x
Mild liver disease , 070.23, K70.0
Mild liver disease , 070.32, K70.1
Mild liver disease , 070.33, K70.2
Mild liver disease , 070.44,K70.3
Mild liver disease , 070.54, K70.9
Mild liver disease , 070.6, K71.3
Mild liver disease , 070.9, K71.4
Mild liver disease , 570.x, K71.5
Mild liver disease ,571.x, K71.7
Mild liver disease ,573.3, K73.x
Mild liver disease ,573.4, K74.x
Mild liver disease ,573.8, K76.0
Mild liver disease ,573.9, K76.2
Mild liver disease ,, K76.3
Mild liver disease ,,K76.4
Mild liver disease ,, K76.8
Mild liver disease ,, K76.9
Mild liver disease ,, Z94.4 
