Description,Enhanced ICD-9-CM,ICD-10  
Moderate or severe liver disease ,456.0,I85.0
Moderate or severe liver disease ,456.1, I85.9
Moderate or severe liver disease ,456.2, I86.4
Moderate or severe liver disease , 572.2, I98.2
Moderate or severe liver disease , 572.3, K70.4
Moderate or severe liver disease , 572.4, K71.1
Moderate or severe liver disease , 572.5, K72.1
Moderate or severe liver disease , 572.6, K72.9
Moderate or severe liver disease , 572.7, K76.5
Moderate or severe liver disease ,572.8 , K76.6
Moderate or severe liver disease ,, K76.7 
