ICD-9_or_10-CM,Description,GroupNumber,Grouping,Table,ICD9_or_10
456.0,Oesophageal varices with bleeding,2,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
456.20,"Oesophageal varices in diseases classified elsewhere, with bleeding",2,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
530.21,Ulcer of oesophagus with bleeding,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
530.7,Gastro-oesophageal laceration-haemorrhage syndrome,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
530.82,Oesophageal haemorrhage,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
531.0,Acute gastric ulcer with haemorrhage ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
531.00,"Acute gastric ulcer with haemorrhage, without mention of obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
531.01,"Acute gastric ulcer with haemorrhage, with obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
531.2, Acute gastric ulcer with haemorrhage and perforation ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
531.20,"Acute gastric ulcer with haemorrhage and perforation, without mention of obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
531.21,"Acute gastric ulcer with haemorrhage and perforation, with obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
531.4,Chronic or unspecified gastric ulcer with haemorrhage ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
531.40,"Chronic or unspecified gastric ulcer with haemorrhage, without mention of obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
531.41,"Chronic or unspecified gastric ulcer with haemorrhage, with obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
531.6,Chronic or unspecified gastric ulcer with haemorrhage and perforation ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
531.60,"Chronic or unspecified gastric ulcer with haemorrhage and perforation, without mention of obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
531.61 ,"Chronic or unspecified gastric ulcer with haemorrhage and perforation, with obstruction",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
532.0,Acute duodenal ulcer with haemorrhage ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
532.00,"Acute duodenal ulcer with haemorrhage, without mention of obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
532.01,"Acute duodenal ulcer with haemorrhage, with obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
532.2,Acute duodenal ulcer with haemorrhage and perforation ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
532.20,"Acute duodenal ulcer with haemorrhage and perforation, without mention of obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
532.21,"Acute duodenal ulcer with haemorrhage and perforation, with obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
532.4,Chronic or unspecified duodenal ulcer with haemorrhage ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
532.40,"Chronic or unspecified duodenal ulcer with haemorrhage, without mention of obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
532.41,"Chronic or unspecified duodenal ulcer with haemorrhage, with obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
532.6,Chronic or unspecified duodenal ulcer with haemorrhage and perforation ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
532.60 ,"Chronic or unspecified duodenal ulcer with haemorrhage and perforation, without mention of obstruction",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
532.61,"Chronic or unspecified duodenal ulcer with haemorrhage and perforation, with obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
533.0,Acute peptic ulcer of unspecified site with haemorrhage ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
533.00,"Acute peptic ulcer of unspecified site with haemorrhage, without mention of obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
533.01," Acute peptic ulcer of unspecified site with haemorrhage, with obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
533.2,Acute peptic ulcer of unspecified site with haemorrhage and perforation ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
533.20,"Acute peptic ulcer of unspecified site with haemorrhage and perforation, without mention of obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
533.21," Acute peptic ulcer of unspecified site with haemorrhage and perforation, with obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
533.4,Chronic or unspecified peptic ulcer of unspecified site with haemorrhage ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
533.40,"Chronic or unspecified peptic ulcer of unspecified site with haemorrhage, without mention of obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
533.41,"Chronic or unspecified peptic ulcer of unspecified site with haemorrhage, with obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
533.6,Chronic or unspecified peptic ulcer of unspecified site with haemorrhage and perforation ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
533.60,"Chronic or unspecified peptic ulcer of unspecified site with haemorrhage and perforation, without mention of obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
533.61,"Chronic or unspecified peptic ulcer of unspecified site with haemorrhage and perforation, with obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
534.0,Acute gastrojejunal ulcer with haemorrhage ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
534.00,"Acute gastrojejunal ulcer with haemorrhage, without mention of obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
534.01,"Acute gastrojejunal ulcer with haemorrhage, with obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
534.2,Acute gastrojejunal ulcer with haemorrhage and perforation ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
534.20,"Acute gastrojejunal ulcer with haemorrhage and perforation, without mention of obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
534.21,"Acute gastrojejunal ulcer with haemorrhage and perforation, with obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
534.4,Chronic or unspecified gastrojejunal ulcer with haemorrhage ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
534.40,"Chronic or unspecified gastrojejunal ulcer with haemorrhage, without mention of obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
534.41,"Chronic or unspecified gastrojejunal ulcer with haemorrhage, with obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
534.6,Chronic or unspecified gastrojejunal ulcer with haemorrhage and perforation ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
534.60,"Chronic or unspecified gastrojejunal ulcer with haemorrhage and perforation, without mention of obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
534.61,"Chronic or unspecified gastrojejunal ulcer with haemorrhage and perforation, with obstruction ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
535.01,"Acute gastritis, with haemorrhage",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
535.11,"Atrophic gastritis, with haemorrhage",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
535.21,"Gastric mucosal hypertrophy, with haemorrhage",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
535.31,"Alcoholic gastritis, with haemorrhage",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
535.41,"Other specified gastritis, with haemorrhage",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
535.51,"Unspecified gastritis and gastroduodenitis, with haemorrhage",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
535.61,"Duodenitis, with haemorrhage",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
535.71,"Eosinophilic gastritis, with haemorrhage ",2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
537.83,Angiodysplasia of stomach and duodenum with haemorrhage ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
537.84,Dieulafoy lesion (haemorrhagic) of stomach and duodenum ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
562.02,Diverticulosis of small intestine with haemorrhage ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
562.03,Diverticulitis of small intestine with haemorrhage ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
562.12, Diverticulosis of colon with haemorrhage ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
562.13 ,Diverticulitis of colon with haemorrhage,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
568.81,Haemoperitoneum (non-traumatic),2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
569.3,Haemorrhage of rectum and anus ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
569.85,Angiodysplasia of intestine with haemorrhage ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
569.86,Dieulafoy lesion (haemorrhagic) of intestine ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
578,Gastrointestinal haemorrhage ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
578.0, Haematemesis ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
578.1,Blood in stool ,2  ,GI_Bleed,Supplementary Table 2: Overt bleed disease codes ,ICD-9-CM
