ICD-9_or_10-CM,Description,GroupNumber,Grouping,Table,ICD9_or_10
431, Intracerebral haemorrhage ,4,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-9-CM
432,Other and unspecified intracranial haemorrhage ,4,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-9-CM
432.0, Non-traumatic extradural haemorrhage ,4,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-9-CM
432.9,Unspecified intracranial haemorrhage ,4,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-9-CM
719.10 ," Haemarthrosis, site unspecified ",3,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-9-CM
719.11,"  Haemarthrosis, shoulder region ",3,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-9-CM
719.12 ," Haemarthrosis, upper arm ",3,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-9-CM
719.13 ," Haemarthrosis, forearm ",3,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-9-CM
719.14,"  Haemarthrosis, hand ",3,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-9-CM
719.15 ," Haemarthrosis, pelvic region and thigh ",3,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-9-CM
719.16  ,"Haemarthrosis, lower leg ",3,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-9-CM
719.17  ,"Haemarthrosis, ankle and foot ",3,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-9-CM
719.18  ,"Haemarthrosis, other specified sites ",3,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-9-CM
719.19  ,"Haemarthrosis, multiple sites ",3,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-9-CM
I61,Non-traumatic intracerebral haemorrhage ,4,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-10-CM
I61.0 ,Non-traumatic intracerebral haemorrhage ,4,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-10-CM
I61.1,Non-traumatic intracerebral haemorrhage ,4,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-10-CM
I61.2,Non-traumatic intracerebral haemorrhage ,4,IntracerebralBleed,Supplementary Table 1: Critical organ bleed disease codes,ICD-10-CM
